category,short_description,prompt_text
comic action,The Overconfident Takedown,"A hero charges in with a dramatic battle cry, slips on debris mid-stride, and accidentally knocks out the enemy while scrambling to regain balance."
comic action,The Door That Fights Back,"A trained fighter kicks in a door with full force, only to rebound painfully because it opens the other way."
comic action,Weapon Mix-Up,"During a tense standoff, a character draws what they think is a gun, only to reveal an absurdly small or inappropriate object."
comic action,Undetonated grenade,"A grenade lands at a soldier’s feet; they calmly pick it up, realize the pin is still in"
comic action,Two fighters collide,"Two enemies rush a single hero from opposite sides, collide headfirst into each other, and collapse while the hero blinks in confusion."
comic action,Weapon retrieval,The hero dives behind cover just in time—then slowly reaches back out to retrieve the weapon they dropped mid-dive.
action,Control panel explosion,"A hero runs along a narrow corridor, slaps a control panel in passing, and dives forward as a blast erupts behind them in the same frame."
action,Fight and throw sequence,"A character ducks a swing, steps inside the guard, lands a knee, and throws the opponent over their hip in one fluid movement."
action,Grappling fall,"Two characters grapple briefly, struggle for balance, and one abruptly releases, letting the other fall forward into empty space."
action,Knife block,"A knife flashes into frame; the defender blocks the wrist, slams it into a wall, disarms the blade, and sends it spinning out of sight."
action,Batman,"The physical power dynamic initially favors Batman—he slams the Joker against the table, using brute force and intimidation. "
action,Couch firing,"A character fires from a crouch, rises while reloading, and resumes firing by the time they’re fully upright."
romantic,Approaching to hand hold,"Two characters step toward each other at the same time, stop inches apart, hesitate, then both smile as one reaches out and gently takes the other’s hand."
romantic,Hair tuck,"A character reaches for something behind the other, pauses mid-reach, and instead gently tucks hair behind their ear."
romantic,Wall kiss,"A character pushes the other gently back against a wall, cups their face, and kisses them without hesitation."
romantic,Argue then kiss,"Two characters argue face-to-face, voices overlapping, until one abruptly cuts the other off with a kiss."
romantic,Walk and lean,"Two characters walk and talk, then stop to lean their foreheads against each other."
drama,Turn away,"Two characters stand inches apart, neither speaking, until one exhales sharply and turns away in visible restraint."
drama,Forced smile,"A character forces a smile, nods once as if in agreement, then turns away as the smile immediately fades."
drama,Handing over,"A character hands something over reluctantly; the other takes it without looking up, and the space between them feels wider than before."
dialogue,I did this for you,"One character says, “I did this for you,” and the other answers, “That’s what scares me,” without hesitation."
dialogue,We're done,"A character mutters, “We’re done,” then flinches when the other simply nods and agrees."
dialogue,I forgive you,"A character forces out, “I forgive you,” but their eyes betray that they absolutely do not."
dialogue,I did what you asked,"“I did what you asked,” says one—“No,” the other cuts in, “you did what you wanted.”"
dialogue,I love you angry,"“I love you,” one says angrily; the reply comes just as fast: “That’s the problem.”"
dialogue,Tell me this isn't true,"“Tell me this isn’t true,” is met with a quiet, “I can’t.”"
dialogue,Say it was worth it,"“Say it was worth it,” one challenges; after a beat, the answer: “I don’t know anymore.”"
one-liners,This is Sparta,"""This is Sparta"" video clip"
one-liners,You can't handle the truth,"""You can't handle the truth"" video clip for a movie"
one-liners,May the Force be with you,"create a video clip ""May the Force be with you.”"
